,State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,inflow_max,outflow_max,inflow_max_noforeign,total_inflow_noforeign,total_inflow,total_outflow,2009,per_capita_inflow,per_capita_outflow,per_capita_inflow_noforeign,net_per_capita_flow,net_flow,State_abbr,inflow_max_abbr,outflow_max_abbr,inflow_max_noforeign_abbr
30,New Jersey,1116.0,250.0,0.0,1270.0,6156.0,524.0,4343.0,2693.0,13935.0,4958.0,699.0,128.0,342.0,2509.0,545.0,61.0,59.0,174.0,3982.0,3089.0,588.0,800.0,722.0,314.0,295.0,0.0,3499.0,53.0,137.0,477.0,,360.0,299.0,41692.0,2122.0,277.0,199.0,19947.0,5506.0,534.0,1326.0,0.0,494.0,3368.0,129.0,3378.0,65.0,1060.0,117.0,683.0,78.0,New York,Pennsylvania,,,135352.0,188724.0,8755602.0,0.0154589027687645,0.02155465723544766,,-0.006095754466683159,-53372.0,NJ,NY,PA,Foreign
31,New Mexico,588.0,2420.0,290.0,9402.0,8439.0,3269.0,42.0,49.0,1911.0,1347.0,263.0,647.0,200.0,1807.0,1434.0,234.0,123.0,45.0,821.0,670.0,63.0,683.0,516.0,1941.0,436.0,763.0,510.0,194.0,934.0,0.0,879.0,,3274.0,300.0,976.0,1180.0,1012.0,452.0,305.0,0.0,668.0,0.0,54.0,9796.0,2710.0,1196.0,166.0,1001.0,262.0,102.0,57.0,Texas,Texas,,,64431.0,65986.0,2036802.0,0.03163341355713516,0.03239686528194689,,-0.0007634517248117367,-1555.0,NM,TX,TX,Foreign
32,New York,2993.0,2626.0,759.0,4099.0,22916.0,3047.0,12522.0,893.0,30875.0,8175.0,1327.0,846.0,607.0,6982.0,2566.0,671.0,1811.0,1525.0,17239.0,6982.0,1557.0,7467.0,1921.0,2225.0,205.0,889.0,11518.0,0.0,315.0,2285.0,36630.0,1248.0,3137.0,,5822.0,1777.0,807.0,21961.0,5818.0,2620.0,3874.0,219.0,2736.0,10249.0,497.0,8902.0,4407.0,2163.0,1894.0,995.0,310.0,New Jersey,Florida,,,273909.0,378873.0,19307066.0,0.01418698211318074,0.019623540935738242,,-0.005436558822557502,-104964.0,NY,NJ,FL,Foreign
33,North Carolina,1184.0,5102.0,1522.0,3016.0,13044.0,2978.0,4669.0,1890.0,24457.0,14511.0,1211.0,1463.0,118.0,4708.0,2927.0,2982.0,5790.0,1913.0,5673.0,9570.0,1338.0,9510.0,1089.0,3945.0,2983.0,50.0,,117.0,228.0,1746.0,13266.0,1432.0,2159.0,20865.0,11709.0,1620.0,1728.0,10774.0,2496.0,1717.0,22374.0,339.0,7780.0,13658.0,195.0,27787.0,2190.0,2000.0,3007.0,5260.0,427.0,Virginia,Florida,,,282517.0,227502.0,9449566.0,0.029897351899547557,0.02407539139892774,,0.0058219605006198175,55015.0,NC,VA,FL,Foreign
34,North Dakota,922.0,312.0,4.0,776.0,1344.0,468.0,84.0,0.0,979.0,392.0,0.0,513.0,257.0,568.0,181.0,114.0,327.0,83.0,0.0,294.0,0.0,637.0,13564.0,63.0,113.0,1689.0,299.0,,100.0,0.0,203.0,337.0,207.0,66.0,314.0,0.0,122.0,191.0,0.0,0.0,22.0,1222.0,96.0,1270.0,280.0,85.0,0.0,390.0,365.0,141.0,576.0,Minnesota,Minnesota,,,29970.0,21343.0,664968.0,0.045069837947089186,0.03209628132481563,,0.012973556622273556,8627.0,ND,MN,MN,Foreign
35,Ohio,1311.0,2326.0,930.0,3845.0,7763.0,1788.0,1164.0,598.0,13641.0,4774.0,590.0,744.0,962.0,6871.0,10204.0,1521.0,10490.0,896.0,3360.0,3273.0,431.0,15255.0,2764.0,2545.0,879.0,239.0,5793.0,232.0,480.0,823.0,2187.0,689.0,1503.0,10451.0,,382.0,990.0,10965.0,1936.0,336.0,3473.0,791.0,8025.0,5372.0,1162.0,7827.0,503.0,1620.0,1157.0,5679.0,136.0,Michigan,Florida,,,171676.0,205984.0,11528896.0,0.0148909314473823,0.017866758447643207,,-0.002975827000260908,-34308.0,OH,MI,FL,Foreign
36,Oklahoma,765.0,1313.0,7671.0,4401.0,9264.0,4385.0,0.0,43.0,4103.0,3389.0,247.0,2370.0,189.0,2314.0,782.0,5696.0,1431.0,1676.0,525.0,1776.0,41.0,893.0,562.0,5505.0,1325.0,138.0,2096.0,272.0,437.0,28.0,1033.0,2776.0,1364.0,2076.0,1573.0,,2081.0,1180.0,0.0,147.0,690.0,332.0,1091.0,32437.0,1420.0,2351.0,232.0,1989.0,393.0,115.0,846.0,Texas,Texas,,,117763.0,89947.0,3717572.0,0.03167739589172718,0.024195092926243257,,0.007482302965483925,27816.0,OK,TX,TX,Foreign
37,Oregon,4826.0,1178.0,457.0,4833.0,32088.0,2955.0,787.0,0.0,3411.0,362.0,3155.0,487.0,5791.0,1506.0,300.0,1162.0,1942.0,1284.0,1325.0,187.0,295.0,1625.0,1408.0,401.0,94.0,2163.0,3120.0,0.0,611.0,0.0,788.0,1142.0,4062.0,983.0,1215.0,2361.0,,1471.0,314.0,55.0,113.0,0.0,1037.0,5636.0,2239.0,1115.0,303.0,23557.0,769.0,901.0,1392.0,California,Washington,,,127206.0,101003.0,3808600.0,0.033399674421047104,0.02651971853174395,,0.0068799558893031555,26203.0,OR,CA,WA,Foreign
38,Pennsylvania,1185.0,705.0,798.0,2493.0,9955.0,3233.0,4552.0,5805.0,15365.0,5439.0,506.0,349.0,753.0,3731.0,1767.0,1345.0,2274.0,859.0,5320.0,18826.0,998.0,4431.0,1007.0,1116.0,1279.0,90.0,8218.0,254.0,237.0,511.0,38000.0,270.0,2401.0,31898.0,12275.0,781.0,1803.0,,3568.0,1406.0,2895.0,638.0,2016.0,6279.0,2374.0,11607.0,583.0,1491.0,2252.0,4074.0,151.0,New Jersey,New York,,,230163.0,204067.0,12666858.0,0.0181704886878814,0.016110309281117702,,0.002060179406763698,26096.0,PA,NJ,NY,Foreign
39,Puerto Rico,0.0,0.0,60.0,774.0,668.0,413.0,1461.0,0.0,11603.0,724.0,0.0,0.0,0.0,667.0,0.0,0.0,56.0,0.0,2182.0,427.0,113.0,0.0,0.0,0.0,0.0,0.0,452.0,0.0,76.0,51.0,2356.0,53.0,0.0,3867.0,108.0,0.0,0.0,1538.0,,837.0,0.0,157.0,169.0,2182.0,0.0,697.0,0.0,226.0,68.0,0.0,123.0,Florida,Florida,,,32108.0,61927.0,3740410.0,0.008584085701834826,0.01655620640518018,,-0.007972120703345355,-29819.0,PR,FL,FL,Foreign
