STATE_FIPS,COUNTY_FIPS,Population,Inflow_pc,Inflow_gross,Outflow_pc,Outflow_gross,Total_1_death,Total_2_death,Total_3_death,Total_4_death,Total_5_death,Total_6_death,Total_1_property,Total_2_property,Total_3_property,Total_4_property,Total_5_property,Total_6_property,NAME,median_household_income,start_year,end_year,median_age,median_house_value_USD,median_rent,per_pop_edu_less_than_high_school,per_pop_edu_high_school_grad,per_pop_edu_some_college,per_pop_edu_associates,per_pop_edu_bachelors,per_pop_edu_graduate,per_households_below_poverty_line,per_pop_white_alone,per_pop_female,per_pop_US_born_same_state,per_pop_US_born_other_state,per_pop_foreign_born,per_pop_veterans,rental_units_sub_10_per_income_per_pop,rental_units_10_15_per_income_per_pop,rental_units_15_20_per_income_per_pop,rental_units_20_25_per_income_per_pop,rental_units_25_30_per_income_per_pop,rental_units_30_35_per_income_per_pop,rental_units_35_40_per_income_per_pop,rental_units_40_50_per_income_per_pop,rental_units_above_50_per_income_per_pop,per_homes_renter_occupied,per_homes_vaccant_by_homes,per_homes_family,per_homes_without_plumbing,per_homes_without_kitchen
05,031,10708453.0,0.0676568314769649,7245.0,0.0594116441694431,5561.0,196,1,1,0,0,0,83,81,25,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,033,3643353.0,0.1255162483569393,4573.0,0.1528573910022581,4312.0,242,0,0,0,0,0,196,25,14,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,035,2825900.0,0.1296224211755546,3663.0,0.0959658753498048,2967.0,112,0,0,0,0,0,42,54,12,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,037,502038.0,0.1910213967866974,959.0,0.250816475176805,1281.0,87,0,0,0,0,0,41,29,9,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,039,146916.0,0.5295543031392088,778.0,0.3919121318022965,628.0,154,0,0,0,0,0,120,18,5,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,041,283458.0,0.1781569050794121,505.0,0.3544351336760322,1208.0,109,0,0,0,0,0,93,2,5,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,043,757926.0,0.241712251591844,1832.0,0.1869402660638205,1419.0,157,0,0,0,0,0,121,12,17,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,045,16219356.0,0.0720620473463928,11688.0,0.060212960242867694,7264.0,241,3,0,0,0,0,207,13,15,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,047,552513.0,0.1766474273003531,976.0,0.3119434550311665,1121.0,278,0,0,0,0,0,221,33,14,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,049,253726.0,0.2873178152810512,729.0,0.2505354385615381,1006.0,137,1,0,0,0,0,116,11,7,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,051,12553464.0,0.051539559120892794,6470.0,0.0465584131675217,5384.0,236,1,0,0,0,0,195,13,22,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,053,538904.0,0.2673945637813043,1441.0,0.2881546282066438,975.0,137,0,0,0,0,0,111,7,6,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,055,2023833.0,0.120810363305668,2445.0,0.1214603448616294,2153.0,122,0,0,0,0,0,65,38,12,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,057,824688.0,0.1958316357216305,1615.0,0.2238422963004186,1810.0,132,0,0,0,0,0,113,4,8,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,059,1444308.0,0.1783553092553665,2576.0,0.1562530576977211,2076.0,190,1,0,0,0,0,151,12,23,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,061,310728.0,0.2281738369248989,709.0,0.2514428264549531,1016.0,139,0,0,0,0,0,118,5,8,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,063,2253504.0,0.11692901366050382,2635.0,0.1046364110955319,1850.0,206,1,0,0,0,0,182,8,10,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,065,752666.0,0.1514616044832634,1140.0,0.2124759819473613,951.0,194,1,1,0,0,0,180,3,6,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,067,1192232.0,0.21287803045044923,2538.0,0.1986428560760319,1197.0,191,0,1,0,0,0,158,13,9,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,069,7843800.0,0.0738035136031005,5789.0,0.0805830281009417,4806.0,197,1,0,0,0,0,166,11,10,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,071,921120.0,0.1580684384227896,1456.0,0.1362918703741104,1073.0,194,1,0,0,0,0,173,6,11,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
