,from_2000_Outflow_pc,from_2000_Inflow_pc,from_2000_Net_pc,minus_3_Outflow_pc,minus_3_Inflow_pc,minus_3_Net_pc,minus_5_Outflow_pc,minus_5_Inflow_pc,minus_5_Net_pc,minus_10_Outflow_pc,minus_10_Inflow_pc,minus_10_Net_pc
per_pop_veterans,0.0058569133292626675,0.0061881347743319055,0.010276253087723017,0.010583282352957059,0.005838184509992229,0.009126398660134963,0.005539186104545381,0.0072889501770290145,0.010301945868433708,0.007860014248680205,0.007092609906964963,0.012023354872474126
per_pop_white_alone,0.007285607837529522,0.006444569505872838,0.012271875236439305,0.005763763219086968,0.005124568460078511,0.009190366999191147,0.008268398478104703,0.005956846037921034,0.013654148581497076,0.008871234149174448,0.007239544936213147,0.013170431357003251
rental_units_10_15_per_income_per_pop,0.005038855029831309,0.012008696612967416,0.010582419433507032,0.00599742295720905,0.008281640774169527,0.011545053287709885,0.004801951741451759,0.013323958379945376,0.00946246669609384,0.00672888761096871,0.009334928882350903,0.007368946892547629
rental_units_15_20_per_income_per_pop,0.004891016812104381,0.0054110758694844415,0.008996172972801652,0.008408267048873569,0.004589672298370773,0.007398855650631044,0.0046336390941455596,0.004690373789322302,0.011689111797027096,0.0074940598766867214,0.00480118214730768,0.008388494428066755
rental_units_20_25_per_income_per_pop,0.003699640124029455,0.008055150824091644,0.010489037145356917,0.003526840147427027,0.00680302129470016,0.00566177952911048,0.003179213972445041,0.008795102838189182,0.00847513276067087,0.007997019622322098,0.009007268423834165,0.011889783179189444
rental_units_25_30_per_income_per_pop,0.009840761518292697,0.005416066372754254,0.013247054437395923,0.0037187847968724883,0.00404979411101334,0.007949182505657671,0.014785602462483899,0.006636529809575385,0.007607581880653652,0.004616437643395552,0.004677705750738609,0.01110236024270082
rental_units_30_35_per_income_per_pop,0.009035800776343354,0.0054467457714900405,0.011820603241262861,0.025322239594032986,0.004964228899081772,0.00750795828191,0.014590251452158087,0.004446091051294584,0.012334179718122805,0.010407126788609727,0.00498055992017565,0.01096787072287782
rental_units_35_40_per_income_per_pop,0.0021652671926434574,0.0035193145109225286,0.004691103335332969,0.0038119229422591077,0.0025642818889746156,0.0038480368217082258,0.002493795703408818,0.00323776254571977,0.0043690840909453065,0.0032716980476216236,0.0036990246220836957,0.0029696130856924252
rental_units_40_50_per_income_per_pop,0.005214585514486032,0.004873987165795871,0.03219711622587141,0.005736632498922785,0.005332827170644229,0.029536480759696157,0.005843073557849454,0.005191632579396048,0.021962045766016985,0.005728592406990208,0.004399881632001448,0.06031810303552076
rental_units_above_50_per_income_per_pop,0.005016433323578484,0.006987143009474804,0.00618805239374412,0.004827810473355213,0.013300260721883119,0.007210247417071981,0.008099008218806719,0.00920468327130119,0.007961091401465739,0.004300327355521483,0.004885537410210607,0.007362927482542788
rental_units_sub_10_per_income_per_pop,0.003487873944407969,0.009966107834533161,0.006128776116114915,0.006713086074454497,0.005249947503729154,0.00680726193370517,0.0030010112106631393,0.004461015307561505,0.014456274484681637,0.004845085075089824,0.008172625769111397,0.006294021749253853
unemployment_rate_2000,0.010847716613285265,0.00400500130542431,0.018178434704478795,0.008352405891239093,0.003977496282807904,0.022583094138734727,0.0030880843189950613,0.008051550256635676,0.005616049732352998,0.003177588601662032,0.003651597999981387,0.01870998397989465
